사용월,04시.05시.승차,04시.05시.하차,05시.06시.승차,05시.06시.하차,06시.07시.승차,06시.07시.하차,07시.08시.승차,07시.08시.하차,08시.09시.승차,08시.09시.하차,09시.10시.승차,09시.10시.하차,10시.11시.승차,10시.11시.하차,11시.12시.승차,11시.12시.하차,12시.13시.승차,12시.13시.하차,13시.14시.승차,13시.14시.하차,14시.15시.승차,14시.15시.하차,15시.16시.승차,15시.16시.하차,16시.17시.승차,16시.17시.하차,17시.18시.승차,17시.18시.하차,18시.19시.승차,18시.19시.하차,19시.20시.승차,19시.20시.하차,20시.21시.승차,20시.21시.하차,21시.22시.승차,21시.22시.하차,22시.23시.승차,22시.23시.하차,23시.24시.승차,23시.24시.하차
202312,9,1,938,3548,3470,10877,14115,15127,18634,20651,9989,14955,9787,16123,13172,17859,14257,17930,16670,19555,21417,18464,23034,17782,23092,17436,26670,19510,30087,16055,19661,9953,17357,4780,16618,3076,14387,1946,5893,1292
202312,12,0,867,2596,3026,15505,10825,17085,12159,19128,7402,18558,7932,22771,11020,23646,11666,25081,14098,25978,17785,26017,20274,23095,18197,25632,19117,31378,21678,26817,16773,16427,15096,6302,13797,4171,11602,3281,4566,2314
202312,23,1,1860,2270,3587,12389,6720,18012,13949,16546,14679,10613,16204,10888,20543,11186,17576,11912,20553,11858,24157,10572,22958,9417,19974,10413,22434,13288,28292,10147,18899,6715,17266,2775,21442,1826,17869,1644,8149,1020
202312,23,3,352,2229,631,7588,1485,8453,2590,9541,2598,7277,2782,8222,3607,9059,3633,9005,5041,8978,7364,7916,7769,7005,7939,7322,9154,8396,10868,6955,7137,4254,6818,1684,7620,1081,6008,870,2197,1313
202311,4,0,790,3351,3812,10780,15640,16683,20169,21192,9664,13522,10169,14763,12564,15672,12630,15365,14754,16719,18772,16490,20110,14703,19845,15648,24420,17765,29101,15518,18891,9518,15664,4220,14014,2819,13035,1762,5737,1121
202311,7,0,835,2518,2899,15288,10639,17658,11918,19250,6938,18311,8125,21779,10671,20950,10686,22314,12317,22653,15660,23920,18276,20378,15572,24295,17636,30553,21352,26374,16709,16814,13716,6064,11914,3805,10809,2909,4445,1952
202311,25,0,1833,2058,3525,12025,6811,19785,14089,17403,13498,11296,17511,10493,21088,10322,17155,11268,19946,11150,24033,10182,23337,8678,18138,10461,21544,12850,29768,9847,19658,6628,17364,2618,19514,1608,17945,1426,9020,964
202311,22,2,364,2006,564,7329,1421,8506,2352,9729,2121,7068,2742,7423,3544,7521,3139,7722,4665,7637,6129,6765,6961,5680,6785,6294,8437,7838,10787,6710,6754,3868,6264,1433,6634,984,5254,741,2228,812
202310,5,3,867,3415,3503,10811,14383,16416,17732,20738,10109,13345,10333,15315,12283,15503,13548,15933,15273,16415,18156,15581,20827,15684,20749,16063,24744,17190,27591,14987,19855,8431,15598,4364,14799,2896,12463,1722,4779,1155
202310,14,2,785,2302,2678,15195,9626,17963,10746,20546,7291,18091,8351,20492,10404,20309,11744,22076,13070,21986,15309,23026,18891,21561,16461,24282,18005,28497,20337,25592,16113,14360,12885,6461,11958,3772,10112,2877,3889,2152
202310,30,0,1935,2199,3536,12001,7549,19478,14707,17409,16378,10687,19286,10389,20322,10578,18860,11735,20959,11326,22924,10582,24055,9844,20334,10758,22846,12677,28147,10608,21300,5956,17300,2854,20621,1628,17575,1460,7391,1121
