"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202409","5호선","김포공항","24","1","841","3297","4413","9687","17018","17027","22253","21941","12041","13196","12166","14762","16489","16417","19227","17032","21753","17201","24862","16426","27315","15037","24414","15897","29926","16612","35863","15475","22451","8432","18454","4389","17864","2679","15447","2002","6298","1153","339","512","4","6","0","0","0","0","20241003"
"202409","9호선","김포공항","6","0","650","2640","2597","13219","9876","16131","10265","19471","6904","17290","7477","18213","8088","21247","8939","22517","10559","22692","12040","22084","13553","19889","12755","23765","15673","26854","17054","26260","11600","13990","10876","6017","10368","3664","8793","2836","2664","2085","127","1438","1","134","0","6","0","0","20241003"
"202409","공항철도 1호선","김포공항","12","0","1960","2293","2926","11342","6637","19533","12313","16967","17007","10184","17748","9366","17251","10164","16062","11126","18627","11109","19098","9728","18579","9073","15860","10199","21662","11942","25306","10195","17410","5442","14239","2729","18712","1481","15764","1370","5862","888","208","787","0","41","0","3","0","0","20241003"
"202409","서해선","김포공항","14","5","320","2100","628","6939","1628","9241","2708","11188","3259","7131","3279","7498","3290","8523","3501","8610","4894","8341","5808","7115","6051","6436","6184","7087","8294","8071","9834","6960","6631","3727","5697","1806","6267","1126","4965","741","1778","892","52","322","4","1","0","0","0","0","20241003"
"202408","5호선","김포공항","9","0","875","3126","4932","10082","17711","17848","22253","22880","12360","13946","12204","16520","16689","19379","19129","19455","21938","20018","26389","18869","29529","17200","27895","16975","33760","17687","38142","17077","23693","9409","20149","5001","18630","2869","15819","2147","6431","1187","397","560","0","0","0","0","0","0","20240903"
"202408","9호선","김포공항","8","0","685","2519","3071","13483","10247","16453","11141","20169","7456","18395","8005","20375","9368","23320","9489","24720","11963","24862","14175","23728","16440","21685","15510","24328","18653","28002","19609","27430","13732","15092","12701","6560","12144","3981","10148","3040","3390","2113","114","1605","0","145","0","0","0","0","20240903"
"202408","공항철도 1호선","김포공항","10","0","2033","2197","3195","11866","7188","20688","12398","18332","17637","10797","18089","10032","18841","11116","15675","12300","19553","11650","20948","9855","20639","9065","16434","10596","22634","12405","26677","11013","18772","5698","15167","2923","19375","1742","15856","1533","5679","931","159","836","5","62","0","0","0","0","20240903"
"202408","서해선","김포공항","10","7","364","2049","677","7163","1559","9380","2594","11124","3176","7519","3158","8296","3477","9947","3422","9440","5154","9148","6519","7933","7047","6608","6910","6990","9109","8002","10897","7485","7070","3921","6257","1906","6895","1161","5132","739","1806","988","57","322","0","0","0","0","0","0","20240903"
"202407","5호선","김포공항","6","1","813","3190","5038","10994","19549","18923","23631","24514","11712","14291","11743","15509","14870","17912","16926","18286","19870","18732","21984","17387","25146","16297","24185","16508","30407","17792","35321","17437","22442","9650","18556","4758","17471","3096","14342","2210","6448","1233","401","617","0","4","0","0","0","0","20240803"
"202407","9호선","김포공항","9","0","665","2715","3442","13609","11749","17625","11786","20814","7569","18533","8279","20116","9840","22603","10218","24632","12623","24178","14722","23404","17140","21356","15906","24478","19616","27805","21150","27887","14942","15957","13434","6647","12672","4196","10040","2971","4056","2052","103","1363","1","155","0","0","0","0","20240803"
"202407","경의선","김포공항","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20240803"
"202407","공항철도 1호선","김포공항","19","1","2046","2321","3460","12381","7809","23133","12486","19573","16542","11536","18496","10079","18546","10578","16928","12105","19942","11400","21046","9967","20055","9002","17137","10199","23576","11939","28124","10327","19286","5828","15691","2911","19690","1672","16238","1452","7254","949","197","762","2","56","0","0","0","0","20240803"
"202407","서해선","김포공항","12","10","390","2146","631","7607","1772","9590","2520","11809","2969","7703","3181","7789","3513","9519","3580","9284","5363","8929","6664","7562","7272","6592","7312","6990","9388","8071","11253","7298","7369","4231","6775","1967","7146","1164","5310","802","2061","860","64","283","0","0","0","0","0","0","20240803"
"202406","5호선","김포공항","9","2","746","3540","4443","10051","16345","16547","20820","22337","11178","13628","11011","14971","13234","16877","13793","16735","16839","17490","19428","16523","21728","15369","20281","15471","25555","16328","28763","15318","19780","8925","16113","4490","15685","3055","13196","2146","5104","1234","304","598","0","0","0","0","0","0","20240703"
"202406","9호선","김포공항","8","1","820","2591","3287","13472","10391","16678","11448","19475","8087","18351","8496","20268","10918","22612","11076","23365","13862","23191","15461","23115","18396","20866","15822","23837","19098","25999","20766","25602","15639","14583","13405","6705","13336","3949","10382","3238","3479","2183","137","1561","0","144","0","0","0","0","20240703"
"202406","경의선","김포공항","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20240703"
