역명,승차여객수 (명),하차여객수 (명),여객수입 (천원)
계양,1045175,960102,780509
귤현,412869,573076,269857
박촌,1406075,1207757,1236943
임학,3075815,2984817,3140282
계산,4176728,4022433,4112209
경인교대입구,2293266,2167827,2222837
작전,5508711,5215287,4965676
갈산,3174545,3094836,2841775
부평구청,2721794,2835323,2385898
부평시장,4604777,4636834,3935260
부평,2923634,2762240,2709187
동수,1574708,1488444,1339695
부평삼거리,978431,941658,727851
간석오거리,4387643,3978695,3513541
인천시청,2166639,2043730,2071236
예술회관,4506524,4894936,4458578
인천터미널,6489616,6868080,5816657
문학경기장,784232,786992,658012
선학,2551639,2533780,2383870
신연수,1964981,1832640,1720744
원인재,1117988,938969,1104975
동춘,3648231,3891923,3507385
동막,2242046,2026856,1864395
캠퍼스타운,2062694,2049556,2059406
테크노파크,3404293,3432604,3681416
지식정보단지,1401398,1519638,1423905
인천대입구,2085617,2027722,2047626
센트럴파크,1106456,1139410,1187263
국제업무지구,610600,611206,624282
인천2호선 계,41387613,41234241,35715167
검단오류,612086,670582,592227
왕길,658230,610459,698816
검단사거리,2917119,2716043,2830747
마전,1255251,1284340,1298323
완정,2022684,1930847,2035655
독정,1042440,1040016,1096365
검암,1140652,917241,1018262
검바위,861335,933542,815377
아시아드경기장,1570254,1361992,1479624
서구청,2642837,2653464,2553331
가정,2372828,2150639,1823786
가정중앙시장,1735310,1845381,1527624
석남,1526089,1474140,1448693
서부여성회관,1499715,1403800,1373070
인천가좌,1240026,1208117,1190136
가재울,1099903,1044671,976076
주안국가산단,658588,699645,636867
주안,2365054,3379565,2126364
시민공원,2719021,2586377,1925644
석바위시장,1559901,1660873,1082970
인천시청,1083460,1218418,870422
석천사거리,1524151,1416239,1295070
모래내시장,2575232,2647932,1760894
만수,1721027,1624767,1269312
남동구청,1548352,1408883,1115742
인천대공원,1068097,1030397,623427
운연,367971,315871,250343
