기준_날짜,승차_호선,하차_호선,승차_호선_명칭,하차_호선_명칭,승객_수,승객_수_일반,승객_수_어린이,승객_수_청소년,승객_수_경로,승객_수_장애인,승객_수_국가유공자,승객_수_외국인경로
2024-06-01,1,1,1호선,1호선,50357,30809,1038,571,15187,2550,174,28
2024-06-01,1,2,1호선,2호선,20991,15918,442,437,3532,598,39,25
2024-06-01,1,3,1호선,3호선,16732,11724,354,208,3820,570,48,8
2024-06-01,1,4,1호선,4호선,23262,17276,654,398,4250,643,35,6
2024-06-01,1,101,1호선,경부선,30027,21743,693,469,6020,1009,93,0
2024-06-01,1,102,1호선,경인선,15246,10261,336,207,3794,594,54,0
2024-06-01,1,103,1호선,경원선,21963,12859,415,305,7168,1123,93,0
2024-06-01,1,104,1호선,안산선,2182,1464,57,52,533,70,6,0
2024-06-01,1,105,1호선,과천선,2310,1574,45,33,571,77,10,0
2024-06-01,1,106,1호선,분당선,1966,1249,41,37,562,72,5,0
2024-06-01,1,107,1호선,일산선,3492,2080,96,49,1123,130,14,0
2024-06-01,1,108,1호선,중앙선,6626,3995,138,133,2049,298,13,0
2024-06-01,1,109,1호선,장항선,195,96,4,3,78,14,0,0
2024-06-01,1,110,1호선,경의중앙선,1714,969,48,40,593,59,5,0
2024-06-01,1,111,1호선,경춘선,1400,669,30,31,587,75,8,0
2024-06-01,1,112,1호선,수인선,413,217,23,13,141,18,1,0
2024-06-01,1,113,1호선,경강선,205,113,4,10,67,11,0,0
2024-06-01,1,114,1호선,서해선,1112,656,46,17,337,53,3,0
2024-06-01,1,205,1호선,5호선,8839,6060,188,147,2072,343,25,4
2024-06-01,1,206,1호선,6호선,10521,6676,192,152,3046,420,29,6
2024-06-01,1,207,1호선,7호선,5599,3318,85,58,1870,243,21,4
2024-06-01,1,208,1호선,8호선,840,548,14,11,236,29,2,0
2024-06-01,1,301,1호선,인천1호선,2023,1317,47,35,554,66,3,1
2024-06-01,1,302,1호선,인천2호선,1296,709,31,24,466,57,7,2
2024-06-01,1,307,1호선,7호선(인천),1448,1039,36,23,306,38,5,1
2024-06-01,1,401,1호선,9호선,6323,4624,105,117,1211,249,17,0
2024-06-01,1,402,1호선,공항철도1호선,2963,2456,84,61,308,45,9,0
2024-06-01,1,403,1호선,신분당선,428,260,5,4,147,11,1,0
2024-06-01,1,404,1호선,9호선(연장),991,809,21,32,112,14,3,0
2024-06-01,1,405,1호선,에버라인선,89,34,0,6,45,3,1,0
2024-06-01,1,406,1호선,의정부선,645,519,10,19,85,12,0,0
2024-06-01,1,407,1호선,신분당선(연장),594,274,16,7,268,27,2,0
2024-06-01,1,408,1호선,우이신설선,3482,1819,74,35,1358,187,6,3
2024-06-01,1,409,1호선,김포골드라인,544,303,10,10,207,12,2,0
2024-06-01,1,410,1호선,진접선,761,491,35,10,201,20,4,0
2024-06-01,1,411,1호선,신분당선(연장2),131,80,4,2,40,4,1,0
2024-06-01,1,412,1호선,신림선,1669,1122,30,13,446,56,2,0
2024-06-01,2,1,2호선,1호선,19883,14651,391,321,3857,608,30,25
2024-06-01,2,2,2호선,2호선,622422,521544,17050,18331,54739,9589,572,597
2024-06-01,2,3,2호선,3호선,58316,48443,1389,1506,6047,850,44,37
2024-06-01,2,4,2호선,4호선,57437,47651,1422,1473,5908,913,42,28
2024-06-01,2,101,2호선,경부선,35519,28156,769,914,4817,821,42,0
2024-06-01,2,102,2호선,경인선,27896,21614,750,810,3962,722,38,0
2024-06-01,2,103,2호선,경원선,14764,11491,376,509,2018,357,13,0
2024-06-01,2,104,2호선,안산선,8268,6699,223,271,901,166,8,0
2024-06-01,2,105,2호선,과천선,12692,9234,307,283,2514,322,32,0
2024-06-01,2,106,2호선,분당선,32467,26129,851,1125,3844,481,37,0
2024-06-01,2,107,2호선,일산선,5681,4400,146,178,827,116,14,0
2024-06-01,2,108,2호선,중앙선,7938,6262,204,277,1040,146,9,0
2024-06-01,2,109,2호선,장항선,295,159,10,16,96,13,1,0
2024-06-01,2,110,2호선,경의중앙선,8788,6760,366,351,1163,142,6,0
2024-06-01,2,111,2호선,경춘선,1634,1057,51,77,399,46,4,0
2024-06-01,2,112,2호선,수인선,757,521,21,27,168,17,3,0
2024-06-01,2,113,2호선,경강선,2222,1600,76,94,389,61,2,0
2024-06-01,2,114,2호선,서해선,2278,1746,52,73,344,61,2,0
2024-06-01,2,205,2호선,5호선,57675,45632,1622,1503,7545,1275,49,49
2024-06-01,2,206,2호선,6호선,38328,31853,843,946,3960,673,35,18
2024-06-01,2,207,2호선,7호선,56153,45066,1658,1575,6639,1085,60,70
2024-06-01,2,208,2호선,8호선,21037,16810,583,509,2709,392,23,11
2024-06-01,2,301,2호선,인천1호선,4760,3791,110,194,542,100,8,15
2024-06-01,2,302,2호선,인천2호선,2876,2207,111,122,378,51,6,1
2024-06-01,2,307,2호선,7호선(인천),6684,5537,148,166,691,129,4,9
2024-06-01,2,401,2호선,9호선,25316,20750,626,685,2699,515,21,20
2024-06-01,2,402,2호선,공항철도1호선,11704,10040,490,442,620,104,8,0
2024-06-01,2,403,2호선,신분당선,7429,5764,145,164,1196,148,12,0
2024-06-01,2,404,2호선,9호선(연장),9231,7501,323,239,1010,146,7,5
2024-06-01,2,405,2호선,에버라인선,416,223,15,27,138,11,2,0
2024-06-01,2,406,2호선,의정부선,418,350,15,19,29,5,0,0
2024-06-01,2,407,2호선,신분당선(연장),7546,5829,215,272,1118,99,13,0
2024-06-01,2,408,2호선,우이신설선,3365,2483,47,93,633,106,3,0
2024-06-01,2,409,2호선,김포골드라인,1996,1390,83,76,402,40,5,0
2024-06-01,2,410,2호선,진접선,1029,771,37,63,136,20,2,0
2024-06-01,2,411,2호선,신분당선(연장2),1974,1650,40,56,197,30,1,0
2024-06-01,2,412,2호선,신림선,8253,5736,221,210,1811,259,12,4
2024-06-01,3,1,3호선,1호선,15849,10704,303,229,3941,616,50,6
2024-06-01,3,2,3호선,2호선,60433,50041,1524,1670,6220,886,46,46
2024-06-01,3,3,3호선,3호선,163923,119952,6473,5672,27935,3641,223,27
2024-06-01,3,4,3호선,4호선,33406,26532,982,751,4503,606,28,4
2024-06-01,3,101,3호선,경부선,8010,6316,173,173,1157,180,11,0
2024-06-01,3,102,3호선,경인선,4506,3453,104,100,732,109,8,0
2024-06-01,3,103,3호선,경원선,6975,5047,158,196,1373,182,19,0
2024-06-01,3,104,3호선,안산선,1896,1481,49,64,274,27,1,0
2024-06-01,3,105,3호선,과천선,2960,2070,71,48,693,72,6,0
2024-06-01,3,106,3호선,분당선,11753,8423,354,352,2396,213,15,0
2024-06-01,3,107,3호선,일산선,22518,16215,665,562,4465,572,39,0
2024-06-01,3,108,3호선,중앙선,4398,3348,81,107,768,90,4,0
2024-06-01,3,109,3호선,장항선,46,23,0,1,20,2,0,0
2024-06-01,3,110,3호선,경의중앙선,4183,2855,116,112,985,107,8,0
2024-06-01,3,111,3호선,경춘선,795,533,16,27,198,21,0,0
2024-06-01,3,112,3호선,수인선,183,111,7,2,53,10,0,0
2024-06-01,3,113,3호선,경강선,942,639,32,40,202,27,2,0
2024-06-01,3,114,3호선,서해선,899,700,18,20,135,26,0,0
2024-06-01,3,205,3호선,5호선,24593,18811,728,620,3843,539,38,14
2024-06-01,3,206,3호선,6호선,24459,18486,615,617,4129,583,26,3
2024-06-01,3,207,3호선,7호선,27423,21718,712,628,3832,485,24,24
2024-06-01,3,208,3호선,8호선,8942,6692,242,183,1595,222,7,1
2024-06-01,3,301,3호선,인천1호선,1034,797,16,22,171,25,2,1
2024-06-01,3,302,3호선,인천2호선,612,466,12,14,104,16,0,0
2024-06-01,3,307,3호선,7호선(인천),2359,1936,48,70,264,37,2,2
2024-06-01,3,401,3호선,9호선,14448,11726,412,431,1654,215,9,1
